biomarker	featureid	dataset_all	num_d_melanoma	num_d_other	num_datasets	classification	species
numerator	semibin_SRR11413649.182	['Peng_2020', 'Gunjur_2024', 'Spencer_2021', 'Lee_2022', 'Matson_2019', 'Gopalakrishnan_2018']	4	2	6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatocola;s__Scatocola faecipullorum	Scatocola faecipullorum
numerator	maxbin_SRR13068818.010	['Peng_2020', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	semibin_SRR8387683.16	['Peng_2020', 'Heshiki_2020', 'Gunjur_2024', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	3	3	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis	Alistipes communis
numerator	semibin_SRR16554738.0	['Gunjur_2024', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis
numerator	semibin_SRR5930536.88	['Peng_2020', 'Gunjur_2024', 'Tsakmaklis_2023', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	2	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	Faecalibacterium sp900539945
numerator	metabat_ERR6275676.3	['Heshiki_2020', 'Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022']	4	2	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	CAG-103 sp000432375
numerator	semibin_SRR11413653.97_sub	['Gunjur_2024', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Alistipes shahii
numerator	semibin_SRR13068817.76	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	CAG-103 sp000432375
numerator	metabat_SRR13068851.17	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	CAG-103 sp000432375
numerator	semibin_SRR16554707.35_sub	['Peng_2020', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Matson_2019', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	Agathobacter faecis
numerator	maxbin_SRR5930518.019_sub	['Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	5	0	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	Roseburia intestinalis
numerator	maxbin_SRR5930515.007	['Peng_2020', 'Gunjur_2024', 'Tsakmaklis_2023', 'Spencer_2021', 'Lee_2022']	3	2	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae_A	Lachnospira rogosae_A
numerator	semibin_SRR16554765.8	['Gunjur_2024', 'McCulloch_2022', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	4	1	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides ovatus
numerator	metabat_ERR6279614.12_sub	['Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	5	0	5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	Bifidobacterium adolescentis
numerator	semibin_SRR20881986.74	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans
numerator	maxbin_SRR16554733.009	['Peng_2020', 'Gunjur_2024', 'Tsakmaklis_2023', 'Frankel_2017', 'Gopalakrishnan_2018']	3	2	5	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	Phascolarctobacterium faecium
numerator	semibin_SRR16554671.9	['Gunjur_2024', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis
numerator	maxbin_SRR25825509.002	['Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Matson_2019']	5	0	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	Bacteroides stercoris
numerator	maxbin_SRR13022336.003_sub	['Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Frankel_2017', 'Gopalakrishnan_2018']	5	0	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Alistipes putredinis
numerator	semibin_SRR6000903.13	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	5	0	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
numerator	semibin_SRR16168903.5	['Gunjur_2024', 'McCulloch_2022', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	4	1	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides ovatus
numerator	metabat_SRR16554713.13	['Peng_2020', 'Liu_2022', 'McCulloch_2022', 'Frankel_2017', 'Gopalakrishnan_2018']	3	2	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Parabacteroides distasonis
numerator	metabat_SRR16554713.7	['Peng_2020', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	semibin_ERR2162202.11	['Peng_2020', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	semibin_SRR23364193.36	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans
numerator	metabat_SRR25825504.22_sub	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	CAG-103 sp000432375
numerator	metabat_SRR16554662.30_sub	['Gunjur_2024', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis
numerator	metabat_ERR6275681.8	['Gunjur_2024', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis
numerator	maxbin_SRR8387707.004_sub	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans
numerator	maxbin_SRR5930497.004	['Gunjur_2024', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017', 'Gopalakrishnan_2018']	4	1	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	Barnesiella intestinihominis
numerator	metabat_SRR13022372.10_sub	['Gunjur_2024', 'Tsakmaklis_2023', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	Faecalibacterium sp900539945
numerator	metabat_SRR16554765.3	['Liu_2022', 'Heshiki_2020', 'McCulloch_2022', 'Spencer_2021', 'Frankel_2017']	3	2	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	Agathobacter rectalis
numerator	metabat_SRR13068853.24	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans
numerator	metabat_ERR12405985.2	['Gunjur_2024', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis
numerator	maxbin_ERR12406009.001	['Peng_2020', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Gopalakrishnan_2018']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	semibin_SRR25825499.11	['Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	5	0	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
numerator	semibin_SRR23364199.62	['Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	5	0	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
numerator	semibin_SRR23364195.41	['Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Frankel_2017', 'Gopalakrishnan_2018']	5	0	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Alistipes putredinis
numerator	semibin_SRR16554739.16	['Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	5	0	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	Roseburia intestinalis
numerator	maxbin_SRR11413620.019	['Peng_2020', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Matson_2019']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	Agathobacter faecis
numerator	semibin_ERR6267712.18	['Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	5	0	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A massiliensis	Blautia_A massiliensis
numerator	semibin_ERR6232382.49_sub	['Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	5	0	5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	Bifidobacterium adolescentis
numerator	semibin_ERR6232458.16	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans
denominator	metabat_ERR12405949.23	['Gunjur_2024', 'McCulloch_2022', 'Spencer_2021', 'Frankel_2017', 'Gopalakrishnan_2018']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	Hungatella effluvii
numerator	semibin_SRR25825514.3_sub	['Peng_2020', 'Tsakmaklis_2023', 'McCulloch_2022', 'Matson_2019', 'Gopalakrishnan_2018']	4	1	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Parabacteroides distasonis
numerator	semibin_SRR16554716.24	['Peng_2020', 'McCulloch_2022', 'Spencer_2021', 'Frankel_2017', 'Gopalakrishnan_2018']	4	1	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	semibin_SRR11413608.137	['Peng_2020', 'Gunjur_2024', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	3	2	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis
numerator	maxbin_ERR6281505.022	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
denominator	metabat_ERR6271721.70	['Gunjur_2024', 'McCulloch_2022', 'Spencer_2021', 'Frankel_2017']	3	1	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp003522105	ER4 sp003522105
numerator	maxbin_ERR6280910.023_sub	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
numerator	maxbin_ERR6279655.020	['Gunjur_2024', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	3	1	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis
numerator	maxbin_SRR23364204.024	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
denominator	semibin_SRR13068817.20	['Gunjur_2024', 'Spencer_2021', 'Frankel_2017', 'Gopalakrishnan_2018']	3	1	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	Roseburia inulinivorans
numerator	maxbin_SRR16168926.008	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
denominator	semibin_ERR12405974.73	['Peng_2020', 'Gunjur_2024', 'Spencer_2021', 'Lee_2022']	2	2	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp001916835	Dysosmobacter sp001916835
numerator	maxbin_SRR16554755.007_sub	['Gunjur_2024', 'Tsakmaklis_2023', 'Matson_2019', 'Gopalakrishnan_2018']	3	1	4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides ovatus
denominator	semibin_ERR6229432.4	['Peng_2020', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022']	3	1	4	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis vadensis	Victivallis vadensis
numerator	maxbin_SRR23364240.011	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
numerator	maxbin_ERR12405958.009_sub	['Gunjur_2024', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022']	3	1	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus	Ruminococcus_B gnavus
denominator	metabat_ERR6281432.10	['Gunjur_2024', 'Tsakmaklis_2023', 'Spencer_2021', 'Lee_2022']	3	1	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__	UMGS1623_spp
denominator	metabat_SRR11413618.24	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022']	3	1	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	Eubacterium_F sp003491505
numerator	semibin_SRR16554766.13	['Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	Anaerobutyricum hallii
denominator	maxbin_ERR6279654.009_sub	['Gunjur_2024', 'McCulloch_2022', 'Spencer_2021', 'Frankel_2017']	3	1	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp003522105	ER4 sp003522105
numerator	maxbin_ERR6282070.040_sub	['Peng_2020', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	3	1	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
denominator	semibin_ERR6279668.12	['Gunjur_2024', 'Tsakmaklis_2023', 'Spencer_2021', 'Lee_2022']	3	1	4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii	Citrobacter freundii
numerator	semibin_SRR23364183.27	['Tsakmaklis_2023', 'McCulloch_2022', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans
numerator	metabat_ERR6279652.5	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
numerator	metabat_ERR6279615.15	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
numerator	metabat_ERR6243878.23_sub	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
numerator	metabat_ERR6235716.8_sub	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
denominator	semibin_SRR5930498.69	['Peng_2020', 'Gunjur_2024', 'Spencer_2021', 'Lee_2022']	2	2	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000436835	Eubacterium_R sp000436835
numerator	maxbin_SRR25825517.033_sub	['McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	0	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Blautia_A wexlerae
