sampleid	dataset	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRR16554637	Spencer_2021	FASTQ	DNA	7,593,565	1,134,517,277	31	149.4	151
SRR16554638	Spencer_2021	FASTQ	DNA	16,758,949	1,659,164,550	31	99	101
SRR16554639	Spencer_2021	FASTQ	DNA	14,198,986	1,399,215,205	31	98.5	101
SRR16554640	Spencer_2021	FASTQ	DNA	17,404,728	1,732,750,011	31	99.6	101
SRR16554641	Spencer_2021	FASTQ	DNA	20,389,685	2,031,706,434	31	99.6	101
SRR16554642	Spencer_2021	FASTQ	DNA	5,147,807	768,710,098	31	149.3	151
SRR16554643	Spencer_2021	FASTQ	DNA	5,453,394	812,687,784	31	149	151
SRR16554644	Spencer_2021	FASTQ	DNA	3,801,756	565,670,466	31	148.8	151
SRR16554645	Spencer_2021	FASTQ	DNA	5,196,181	774,485,671	31	149	151
SRR16554646	Spencer_2021	FASTQ	DNA	4,552,215	675,976,466	31	148.5	151
SRR16554647	Spencer_2021	FASTQ	DNA	19,498,176	1,939,983,462	31	99.5	101
SRR16554648	Spencer_2021	FASTQ	DNA	5,604,952	835,254,369	31	149	151
SRR16554649	Spencer_2021	FASTQ	DNA	7,008,249	1,043,551,808	31	148.9	151
SRR16554650	Spencer_2021	FASTQ	DNA	17,678,888	1,761,586,573	31	99.6	101
SRR16554651	Spencer_2021	FASTQ	DNA	18,866,021	1,867,540,944	31	99	101
SRR16554652	Spencer_2021	FASTQ	DNA	26,194,908	2,591,632,494	31	98.9	101
SRR16554653	Spencer_2021	FASTQ	DNA	4,325,194	638,289,906	31	147.6	151
SRR16554654	Spencer_2021	FASTQ	DNA	19,681,613	1,955,930,648	31	99.4	101
SRR16554655	Spencer_2021	FASTQ	DNA	18,119,081	1,804,504,743	31	99.6	101
SRR16554656	Spencer_2021	FASTQ	DNA	18,176,701	1,804,518,167	31	99.3	101
SRR16554657	Spencer_2021	FASTQ	DNA	19,693,473	1,960,974,574	31	99.6	101
SRR16554658	Spencer_2021	FASTQ	DNA	7,344,224	1,094,803,650	31	149.1	151
SRR16554659	Spencer_2021	FASTQ	DNA	16,083,233	1,601,915,257	31	99.6	101
SRR16554660	Spencer_2021	FASTQ	DNA	17,221,136	1,705,493,430	31	99	101
SRR16554662	Spencer_2021	FASTQ	DNA	4,424,699	658,219,275	31	148.8	151
SRR16554663	Spencer_2021	FASTQ	DNA	7,071,082	1,055,606,494	31	149.3	151
SRR16554664	Spencer_2021	FASTQ	DNA	21,073,799	2,093,655,372	31	99.3	101
SRR16554665	Spencer_2021	FASTQ	DNA	19,274,782	1,918,015,289	31	99.5	101
SRR16554666	Spencer_2021	FASTQ	DNA	19,798,534	1,967,873,956	31	99.4	101
SRR16554667	Spencer_2021	FASTQ	DNA	9,445,959	1,407,731,008	31	149	151
SRR16554668	Spencer_2021	FASTQ	DNA	8,076,734	1,205,758,315	31	149.3	151
SRR16554669	Spencer_2021	FASTQ	DNA	9,140,342	1,364,027,368	31	149.2	151
SRR16554670	Spencer_2021	FASTQ	DNA	6,317,548	942,775,209	31	149.2	151
SRR16554671	Spencer_2021	FASTQ	DNA	6,324,916	942,948,360	31	149.1	151
SRR16554672	Spencer_2021	FASTQ	DNA	5,677,161	845,437,492	31	148.9	151
SRR16554673	Spencer_2021	FASTQ	DNA	4,775,780	711,710,519	31	149	151
SRR16554674	Spencer_2021	FASTQ	DNA	5,871,929	874,317,852	31	148.9	151
SRR16554675	Spencer_2021	FASTQ	DNA	5,996,781	894,345,894	31	149.1	151
SRR16554678	Spencer_2021	FASTQ	DNA	3,580,717	532,515,180	31	148.7	151
SRR16554679	Spencer_2021	FASTQ	DNA	6,263,472	935,873,769	31	149.4	151
SRR16554680	Spencer_2021	FASTQ	DNA	4,373,973	650,965,014	31	148.8	151
SRR16554681	Spencer_2021	FASTQ	DNA	7,423,315	1,103,854,223	31	148.7	151
SRR16554684	Spencer_2021	FASTQ	DNA	7,368,709	1,099,525,796	31	149.2	151
SRR16554686	Spencer_2021	FASTQ	DNA	20,626,975	2,054,073,375	31	99.6	101
SRR16554687	Spencer_2021	FASTQ	DNA	5,492,588	818,664,354	31	149	151
SRR16554689	Spencer_2021	FASTQ	DNA	4,591,173	684,108,420	31	149	151
SRR16554691	Spencer_2021	FASTQ	DNA	4,754,349	707,840,035	31	148.9	151
SRR16554697	Spencer_2021	FASTQ	DNA	5,798,600	861,733,798	31	148.6	151
SRR16554698	Spencer_2021	FASTQ	DNA	2,779,066	412,866,692	31	148.6	151
SRR16554704	Spencer_2021	FASTQ	DNA	4,165,597	620,748,851	31	149	151
SRR16554705	Spencer_2021	FASTQ	DNA	4,961,940	738,340,898	31	148.8	151
SRR16554708	Spencer_2021	FASTQ	DNA	6,424,638	958,942,088	31	149.3	151
SRR16554713	Spencer_2021	FASTQ	DNA	9,758,351	1,454,170,399	31	149	151
SRR16554714	Spencer_2021	FASTQ	DNA	7,029,273	1,047,591,144	31	149	151
SRR16554715	Spencer_2021	FASTQ	DNA	6,922,778	1,030,317,062	31	148.8	151
SRR16554716	Spencer_2021	FASTQ	DNA	6,963,179	1,036,498,280	31	148.9	151
SRR16554717	Spencer_2021	FASTQ	DNA	8,892,545	1,323,577,394	31	148.8	151
SRR16554718	Spencer_2021	FASTQ	DNA	6,264,558	932,938,558	31	148.9	151
SRR16554719	Spencer_2021	FASTQ	DNA	4,771,325	710,558,418	31	148.9	151
SRR16554720	Spencer_2021	FASTQ	DNA	5,211,684	777,450,021	31	149.2	151
SRR16554721	Spencer_2021	FASTQ	DNA	6,294,071	936,975,868	31	148.9	151
SRR16554722	Spencer_2021	FASTQ	DNA	7,442,566	1,111,268,065	31	149.3	151
SRR16554723	Spencer_2021	FASTQ	DNA	6,067,002	901,993,563	31	148.7	151
SRR16554724	Spencer_2021	FASTQ	DNA	6,975,173	1,040,888,656	31	149.2	151
SRR16554725	Spencer_2021	FASTQ	DNA	5,091,548	759,528,204	31	149.2	151
SRR16554726	Spencer_2021	FASTQ	DNA	6,358,867	945,447,819	31	148.7	151
SRR16554727	Spencer_2021	FASTQ	DNA	3,957,521	587,226,130	31	148.4	151
SRR16554728	Spencer_2021	FASTQ	DNA	3,594,285	534,825,381	31	148.8	151
SRR16554729	Spencer_2021	FASTQ	DNA	5,263,830	785,302,698	31	149.2	151
SRR16554730	Spencer_2021	FASTQ	DNA	17,417,995	1,736,058,630	31	99.7	101
SRR16554731	Spencer_2021	FASTQ	DNA	4,268,454	636,186,930	31	149	151
SRR16554732	Spencer_2021	FASTQ	DNA	3,682,790	549,733,687	31	149.3	151
SRR16554734	Spencer_2021	FASTQ	DNA	7,236,254	1,079,334,763	31	149.2	151
SRR16554737	Spencer_2021	FASTQ	DNA	20,975,045	2,091,697,681	31	99.7	101
SRR16554738	Spencer_2021	FASTQ	DNA	15,940,254	1,588,430,310	31	99.6	101
SRR16554740	Spencer_2021	FASTQ	DNA	7,734,775	1,152,674,380	31	149	151
SRR16554743	Spencer_2021	FASTQ	DNA	12,101,789	1,801,026,778	31	148.8	151
SRR16554744	Spencer_2021	FASTQ	DNA	20,093,865	1,997,434,543	31	99.4	101
SRR16554747	Spencer_2021	FASTQ	DNA	7,063,039	1,055,654,946	31	149.5	151
SRR16554748	Spencer_2021	FASTQ	DNA	21,340,215	2,122,183,594	31	99.4	101
SRR16554749	Spencer_2021	FASTQ	DNA	8,277,797	1,235,090,451	31	149.2	151
SRR16554750	Spencer_2021	FASTQ	DNA	6,033,135	901,667,617	31	149.5	151
SRR16554751	Spencer_2021	FASTQ	DNA	5,476,254	814,957,231	31	148.8	151
SRR16554752	Spencer_2021	FASTQ	DNA	4,318,612	642,874,924	31	148.9	151
SRR16554753	Spencer_2021	FASTQ	DNA	4,652,363	692,455,523	31	148.8	151
SRR16554754	Spencer_2021	FASTQ	DNA	3,952,005	588,048,281	31	148.8	151
SRR16554755	Spencer_2021	FASTQ	DNA	7,397,469	1,102,447,241	31	149	151
SRR16554756	Spencer_2021	FASTQ	DNA	4,647,777	691,383,541	31	148.8	151
SRR16554757	Spencer_2021	FASTQ	DNA	7,027,915	1,043,084,186	31	148.4	151
SRR16554758	Spencer_2021	FASTQ	DNA	5,332,153	784,688,234	31	147.2	151
SRR16554759	Spencer_2021	FASTQ	DNA	6,854,247	1,023,429,197	31	149.3	151
SRR16554760	Spencer_2021	FASTQ	DNA	19,371,947	1,915,850,014	31	98.9	101
SRR16554761	Spencer_2021	FASTQ	DNA	6,906,133	1,028,847,767	31	149	151
SRR16554762	Spencer_2021	FASTQ	DNA	7,102,679	1,059,358,187	31	149.1	151
SRR16554763	Spencer_2021	FASTQ	DNA	6,755,812	1,007,395,189	31	149.1	151
SRR16554764	Spencer_2021	FASTQ	DNA	3,923,072	585,298,771	31	149.2	151
SRR16554765	Spencer_2021	FASTQ	DNA	6,637,456	988,553,599	31	148.9	151
SRR16554766	Spencer_2021	FASTQ	DNA	16,952,602	1,685,844,432	31	99.4	101
SRR16554767	Spencer_2021	FASTQ	DNA	16,262,999	1,622,225,143	31	99.7	101
SRR16554768	Spencer_2021	FASTQ	DNA	7,625,362	1,134,352,854	31	148.8	151
SRR16554769	Spencer_2021	FASTQ	DNA	16,567,038	1,648,320,232	31	99.5	101
SRR16554770	Spencer_2021	FASTQ	DNA	9,017,370	1,346,134,512	31	149.3	151
SRR16554771	Spencer_2021	FASTQ	DNA	20,919,801	2,084,626,569	31	99.6	101
SRR16554772	Spencer_2021	FASTQ	DNA	6,695,157	998,925,715	31	149.2	151
SRR16554773	Spencer_2021	FASTQ	DNA	19,733,822	1,959,424,230	31	99.3	101
SRR16554774	Spencer_2021	FASTQ	DNA	18,176,616	1,805,477,085	31	99.3	101
SRR16554775	Spencer_2021	FASTQ	DNA	5,148,300	766,644,524	31	148.9	151
SRR16554776	Spencer_2021	FASTQ	DNA	17,432,141	1,736,481,481	31	99.6	101
SRR16554777	Spencer_2021	FASTQ	DNA	15,938,185	1,581,497,620	31	99.2	101
SRR16554778	Spencer_2021	FASTQ	DNA	11,649,948	1,156,903,594	31	99.3	101
SRR16554779	Spencer_2021	FASTQ	DNA	18,613,272	1,848,109,650	31	99.3	101
SRR16554780	Spencer_2021	FASTQ	DNA	15,795,936	1,573,464,337	31	99.6	101
SRR16554781	Spencer_2021	FASTQ	DNA	17,317,227	1,728,130,349	31	99.8	101
SRR16554782	Spencer_2021	FASTQ	DNA	5,041,088	749,832,354	31	148.7	151
SRR16554783	Spencer_2021	FASTQ	DNA	3,530,126	509,615,515	31	144.4	151
SRR16554784	Spencer_2021	FASTQ	DNA	18,718,133	1,864,881,268	31	99.6	101
SRR16554785	Spencer_2021	FASTQ	DNA	18,772,465	1,865,943,528	31	99.4	101
SRR16554786	Spencer_2021	FASTQ	DNA	20,436,315	2,027,808,909	31	99.2	101
SRR16554787	Spencer_2021	FASTQ	DNA	16,026,922	1,597,461,971	31	99.7	101
SRR16554788	Spencer_2021	FASTQ	DNA	17,122,139	1,704,055,542	31	99.5	101
SRR16554789	Spencer_2021	FASTQ	DNA	19,242,707	1,912,385,258	31	99.4	101
SRR16554790	Spencer_2021	FASTQ	DNA	19,545,286	1,947,801,679	31	99.7	101
SRR11413606	Peng_2020	FASTQ	DNA	21,764,727	3,263,656,734	31	150	150
SRR11413607	Peng_2020	FASTQ	DNA	21,690,190	3,252,748,924	31	150	150
SRR11413608	Peng_2020	FASTQ	DNA	21,581,959	3,236,419,954	31	150	150
SRR11413609	Peng_2020	FASTQ	DNA	16,140,886	2,420,477,346	31	150	150
SRR11413610	Peng_2020	FASTQ	DNA	17,081,884	2,560,999,518	31	149.9	150
SRR11413611	Peng_2020	FASTQ	DNA	20,760,603	3,113,528,107	31	150	150
SRR11413612	Peng_2020	FASTQ	DNA	17,371,612	2,604,917,070	31	150	150
SRR11413613	Peng_2020	FASTQ	DNA	19,178,127	2,875,698,146	31	149.9	150
SRR11413614	Peng_2020	FASTQ	DNA	19,171,088	2,874,724,225	31	150	150
SRR11413615	Peng_2020	FASTQ	DNA	18,864,353	2,828,696,656	31	149.9	150
SRR11413617	Peng_2020	FASTQ	DNA	20,022,900	3,002,890,958	31	150	150
SRR11413618	Peng_2020	FASTQ	DNA	28,336,786	4,247,900,675	31	149.9	150
SRR11413619	Peng_2020	FASTQ	DNA	21,735,751	3,259,268,910	31	149.9	150
SRR11413620	Peng_2020	FASTQ	DNA	20,692,715	3,103,105,305	31	150	150
SRR11413645	Peng_2020	FASTQ	DNA	21,003,368	3,149,948,007	31	150	150
SRR11413646	Peng_2020	FASTQ	DNA	20,014,189	3,001,187,981	31	150	150
SRR11413647	Peng_2020	FASTQ	DNA	21,573,237	3,235,126,694	31	150	150
SRR11413648	Peng_2020	FASTQ	DNA	24,420,224	3,661,838,056	31	150	150
SRR11413649	Peng_2020	FASTQ	DNA	24,340,693	3,650,420,739	31	150	150
SRR11413650	Peng_2020	FASTQ	DNA	22,560,899	3,382,945,836	31	149.9	150
SRR11413652	Peng_2020	FASTQ	DNA	23,329,262	3,495,381,956	15	149.8	150
SRR11413653	Peng_2020	FASTQ	DNA	19,925,657	2,988,191,998	31	150	150
SRR11413654	Peng_2020	FASTQ	DNA	20,574,422	3,085,095,229	31	149.9	150
SRR11413655	Peng_2020	FASTQ	DNA	19,267,515	2,889,395,388	31	150	150
SRR11413656	Peng_2020	FASTQ	DNA	19,747,134	2,960,916,996	31	149.9	150
SRR11413657	Peng_2020	FASTQ	DNA	20,303,355	3,043,425,516	31	149.9	150
SRR11413678	Peng_2020	FASTQ	DNA	25,973,404	3,893,429,405	16	149.9	150
SRR11413679	Peng_2020	FASTQ	DNA	20,178,344	3,025,923,266	31	150	150
SRR11413680	Peng_2020	FASTQ	DNA	18,462,958	2,768,622,043	31	150	150
SRR11413681	Peng_2020	FASTQ	DNA	20,714,845	3,105,985,475	31	149.9	150
SRR11413683	Peng_2020	FASTQ	DNA	20,135,266	3,019,032,486	31	149.9	150
SRR11413684	Peng_2020	FASTQ	DNA	19,342,596	2,900,456,987	31	150	150
SRR11413685	Peng_2020	FASTQ	DNA	21,868,406	3,279,905,314	31	150	150
SRR11413686	Peng_2020	FASTQ	DNA	18,211,574	2,730,782,808	31	149.9	150
SRR11413687	Peng_2020	FASTQ	DNA	21,185,779	3,176,275,459	31	149.9	150
SRR11413688	Peng_2020	FASTQ	DNA	19,502,614	2,924,629,512	31	150	150
SRR11413689	Peng_2020	FASTQ	DNA	20,110,321	3,015,955,007	31	150	150
SRR11413690	Peng_2020	FASTQ	DNA	16,332,965	2,447,277,412	15	149.8	150
SRR11413691	Peng_2020	FASTQ	DNA	22,528,751	3,378,569,809	31	150	150
SRR11413692	Peng_2020	FASTQ	DNA	17,509,899	2,625,549,137	31	149.9	150
SRR16168896	McCulloch_2022	FASTQ	DNA	26,953,505	4,035,064,155	31	149.7	151
SRR16168900	McCulloch_2022	FASTQ	DNA	13,751,988	2,052,581,669	31	149.3	151
SRR16168902	McCulloch_2022	FASTQ	DNA	12,667,248	1,891,346,862	31	149.3	151
SRR16168903	McCulloch_2022	FASTQ	DNA	5,968,592	891,601,636	31	149.4	151
SRR16168909	McCulloch_2022	FASTQ	DNA	11,717,010	1,748,484,254	31	149.2	151
SRR16168913	McCulloch_2022	FASTQ	DNA	40,247,591	6,007,560,779	31	149.3	151
SRR16168918	McCulloch_2022	FASTQ	DNA	40,638,424	6,075,193,509	31	149.5	151
SRR16168920	McCulloch_2022	FASTQ	DNA	13,983,599	2,090,131,615	31	149.5	151
SRR16168925	McCulloch_2022	FASTQ	DNA	13,247,675	1,976,458,859	31	149.2	151
SRR16168926	McCulloch_2022	FASTQ	DNA	12,508,998	1,874,864,620	31	149.9	151
SRR16168929	McCulloch_2022	FASTQ	DNA	14,394,831	2,151,275,778	31	149.4	151
SRR16168930	McCulloch_2022	FASTQ	DNA	18,793,716	2,811,545,186	31	149.6	151
SRR16168938	McCulloch_2022	FASTQ	DNA	16,102,272	2,408,769,792	31	149.6	151
SRR16168940	McCulloch_2022	FASTQ	DNA	23,562,199	3,515,870,280	31	149.2	151
SRR16168941	McCulloch_2022	FASTQ	DNA	10,848,192	1,622,001,868	31	149.5	151
SRR16168942	McCulloch_2022	FASTQ	DNA	22,533,883	3,370,830,940	31	149.6	151
SRR16168943	McCulloch_2022	FASTQ	DNA	21,501,036	3,211,792,624	31	149.4	151
SRR16168945	McCulloch_2022	FASTQ	DNA	17,146,621	2,566,898,991	31	149.7	151
SRR16168952	McCulloch_2022	FASTQ	DNA	19,102,379	2,857,642,160	31	149.6	151
SRR16168969	McCulloch_2022	FASTQ	DNA	15,821,766	2,366,155,593	31	149.6	151
SRR16168974	McCulloch_2022	FASTQ	DNA	12,332,528	1,838,833,125	31	149.1	151
SRR16168975	McCulloch_2022	FASTQ	DNA	15,625,476	2,339,519,574	31	149.7	151
SRR16168976	McCulloch_2022	FASTQ	DNA	19,962,879	2,988,272,738	31	149.7	151
SRR16168982	McCulloch_2022	FASTQ	DNA	17,804,955	2,660,761,043	31	149.4	151
SRR16168984	McCulloch_2022	FASTQ	DNA	16,017,067	2,397,055,893	31	149.7	151
SRR16168985	McCulloch_2022	FASTQ	DNA	14,128,230	2,113,472,125	31	149.6	151
SRR16168986	McCulloch_2022	FASTQ	DNA	16,502,600	2,465,023,471	31	149.4	151
SRR20881974	Liu_2022	FASTQ	DNA	32,818,253	4,873,371,153	15	148.5	151
SRR20881975	Liu_2022	FASTQ	DNA	19,285,191	2,875,736,573	15	149.1	151
SRR20881976	Liu_2022	FASTQ	DNA	17,997,540	2,673,015,275	15	148.5	151
SRR20881977	Liu_2022	FASTQ	DNA	36,964,052	5,487,807,021	15	148.5	151
SRR20881978	Liu_2022	FASTQ	DNA	31,583,102	4,642,456,122	15	147	151
SRR20881979	Liu_2022	FASTQ	DNA	16,747,550	2,503,998,936	15	149.5	151
SRR20881980	Liu_2022	FASTQ	DNA	24,768,780	3,682,818,647	15	148.7	151
SRR20881981	Liu_2022	FASTQ	DNA	28,154,539	4,194,060,887	15	149	151
SRR20881983	Liu_2022	FASTQ	DNA	42,753,471	6,337,875,306	15	148.2	151
SRR20881984	Liu_2022	FASTQ	DNA	21,276,228	3,177,427,773	15	149.3	151
SRR20881985	Liu_2022	FASTQ	DNA	20,361,953	3,036,802,625	15	149.1	151
SRR20881986	Liu_2022	FASTQ	DNA	20,605,110	3,078,419,153	15	149.4	151
SRR20881987	Liu_2022	FASTQ	DNA	20,050,013	2,958,488,557	15	147.6	151
SRR20881988	Liu_2022	FASTQ	DNA	23,403,937	3,495,543,875	15	149.4	151
ERR6229432	Lee_2022	FASTQ	DNA	21,286,433	3,123,684,167	31	146.7	151
ERR6230245	Lee_2022	FASTQ	DNA	2,756,731	413,131,507	31	149.9	151
ERR6230278	Lee_2022	FASTQ	DNA	4,093,782	590,203,842	31	144.2	151
ERR6230326	Lee_2022	FASTQ	DNA	5,486,455	809,807,296	31	147.6	151
ERR6230340	Lee_2022	FASTQ	DNA	5,800,218	855,268,334	31	147.5	151
ERR6231475	Lee_2022	FASTQ	DNA	6,759,405	1,015,806,209	31	150.3	151
ERR6231548	Lee_2022	FASTQ	DNA	3,781,061	542,188,049	31	143.4	151
ERR6231616	Lee_2022	FASTQ	DNA	7,434,882	1,081,159,665	31	145.4	151
ERR6232382	Lee_2022	FASTQ	DNA	9,321,572	1,395,316,948	31	149.7	151
ERR6232425	Lee_2022	FASTQ	DNA	4,905,347	689,343,348	31	140.5	151
ERR6232458	Lee_2022	FASTQ	DNA	6,551,015	980,087,243	31	149.6	151
ERR6232518	Lee_2022	FASTQ	DNA	8,894,194	1,315,164,268	31	147.9	151
ERR6232521	Lee_2022	FASTQ	DNA	3,913,956	560,367,424	31	143.2	151
ERR6232522	Lee_2022	FASTQ	DNA	4,804,881	686,169,914	31	142.8	151
ERR6232523	Lee_2022	FASTQ	DNA	3,633,946	527,685,690	31	145.2	151
ERR6232524	Lee_2022	FASTQ	DNA	23,671,395	3,468,702,547	31	146.5	151
ERR6232525	Lee_2022	FASTQ	DNA	6,710,990	995,697,829	31	148.4	151
ERR6232526	Lee_2022	FASTQ	DNA	5,010,057	735,944,893	31	146.9	151
ERR6232527	Lee_2022	FASTQ	DNA	9,445,576	1,411,987,856	31	149.5	151
ERR6232528	Lee_2022	FASTQ	DNA	4,644,551	671,020,916	31	144.5	151
ERR6232529	Lee_2022	FASTQ	DNA	5,668,622	840,688,690	31	148.3	151
ERR6232686	Lee_2022	FASTQ	DNA	9,710,191	1,407,600,634	31	145	151
ERR6232687	Lee_2022	FASTQ	DNA	5,057,749	734,933,849	31	145.3	151
ERR6232688	Lee_2022	FASTQ	DNA	9,613,591	1,373,903,992	31	142.9	151
ERR6233692	Lee_2022	FASTQ	DNA	7,254,625	1,058,212,291	31	145.9	151
ERR6233693	Lee_2022	FASTQ	DNA	6,232,212	875,913,053	31	140.5	151
ERR6233694	Lee_2022	FASTQ	DNA	13,268,299	1,975,400,382	31	148.9	151
ERR6233695	Lee_2022	FASTQ	DNA	23,510,131	3,512,478,454	31	149.4	151
ERR6235716	Lee_2022	FASTQ	DNA	4,286,145	627,516,523	31	146.4	151
ERR6235717	Lee_2022	FASTQ	DNA	6,016,602	901,049,996	31	149.8	151
ERR6235718	Lee_2022	FASTQ	DNA	12,448,308	1,859,886,770	31	149.4	151
ERR6236131	Lee_2022	FASTQ	DNA	9,949,975	1,488,490,016	31	149.6	151
ERR6239138	Lee_2022	FASTQ	DNA	3,854,188	565,858,029	31	146.8	151
ERR6239139	Lee_2022	FASTQ	DNA	13,790,154	2,066,783,502	31	149.9	151
ERR6243877	Lee_2022	FASTQ	DNA	8,998,563	1,224,553,752	31	136.1	151
ERR6243878	Lee_2022	FASTQ	DNA	18,929,904	2,325,847,451	31	122.9	151
ERR6243879	Lee_2022	FASTQ	DNA	5,419,629	812,672,773	31	149.9	151
ERR6243880	Lee_2022	FASTQ	DNA	14,882,864	2,057,281,526	31	138.2	151
ERR6248618	Lee_2022	FASTQ	DNA	9,008,326	1,354,976,077	31	150.4	151
ERR6254869	Lee_2022	FASTQ	DNA	7,208,140	1,072,322,630	31	148.8	151
ERR6254870	Lee_2022	FASTQ	DNA	14,509,655	2,179,021,653	31	150.2	151
ERR6254871	Lee_2022	FASTQ	DNA	13,312,638	1,920,443,455	31	144.3	151
ERR6257997	Lee_2022	FASTQ	DNA	6,759,057	1,003,206,670	31	148.4	151
ERR6264280	Lee_2022	FASTQ	DNA	19,533,150	2,861,856,347	31	146.5	151
ERR6264281	Lee_2022	FASTQ	DNA	30,270,320	4,445,641,850	31	146.9	151
ERR6267711	Lee_2022	FASTQ	DNA	4,361,994	650,285,654	31	149.1	151
ERR6267712	Lee_2022	FASTQ	DNA	10,524,384	1,559,369,349	31	148.2	151
ERR6271719	Lee_2022	FASTQ	DNA	9,213,584	1,362,152,730	31	147.8	151
ERR6271720	Lee_2022	FASTQ	DNA	4,614,426	689,253,415	31	149.4	151
ERR6271721	Lee_2022	FASTQ	DNA	25,690,133	3,802,384,013	31	148	151
ERR6273965	Lee_2022	FASTQ	DNA	21,836,069	3,225,261,233	31	147.7	151
ERR6275652	Lee_2022	FASTQ	DNA	15,415,196	2,304,423,848	31	149.5	151
ERR6275659	Lee_2022	FASTQ	DNA	8,075,600	1,209,449,698	31	149.8	151
ERR6275661	Lee_2022	FASTQ	DNA	35,214,733	5,239,315,056	31	148.8	151
ERR6275663	Lee_2022	FASTQ	DNA	16,707,105	2,503,017,962	31	149.8	151
ERR6275664	Lee_2022	FASTQ	DNA	7,012,094	1,050,062,802	31	149.8	151
ERR6275665	Lee_2022	FASTQ	DNA	10,636,254	1,590,770,837	31	149.6	151
